问题,答案,参考,us3路径
宁德时代在固态电池量产方面有何规划？,宁德时代此前宣布了在2027年将具备固态电池的量产能力。,宁德时代此前宣布了在2027年将具备固态电池的量产能力，车企也在今年陆续发布固态电池方案及车型规划。,pdf/2024-12-12/email_d952eff7-ad0f-5711-b826-e28772708087.md
2024年，工商银行的核心一级资本充足率和ROE分别是多少？,2024年，工商银行核心一级资本充足率为14.01%，ROE预测为10.0%。,表5：工行 建行 13.69% 13.15% 14.01% 9.00% 12.6% 8.9% -0.54% -0.29% 10.7% 11.9%；附表1：工商银行 601398.SH 2024E ROAE 10.0%,pdf/2024-12-12/email_7a816d43-acc3-529f-be1f-3e0e5f55d7b0.md
2024年苏州银行和重庆银行的预计股息率分别是多少？,2024年，苏州银行预计股息率为5.0%，重庆银行预计股息率为4.4%。,投资分析意见：个股选择上，国有大行（H股）可继续持有，并着重聚焦两大主线：1）政策催化下有望再现业绩成长的优质中小行：苏州银行（对应24年股息率5%）……重庆银行（对应24年股息率4.4%）。,pdf/2024-12-12/email_7a816d43-acc3-529f-be1f-3e0e5f55d7b0.md
隆基绿能2024年第三季度归母净利润是多少，较去年同期变化如何？,隆基绿能2024年第三季度归母净利润为-12.61亿元，同比下降150.14%。,根据公司三季报2024Q3公司实现营业收入200.64亿元，同比下降31.87%，环比下降3.79%，系产品价格下降；归母净利润-12.61亿元，同比下降150.14%，环比亏损显著收窄，主要原因系资产减值损失减少。,pdf/2024-12-12/email_417bedd9-b4f0-5ead-af6b-aa2af911d37e.md
2023年全球光模块市场份额中，中际旭创占据什么地位？,在2023年全球光模块厂商市场份额中，中际旭创排名第一，且首次不与其他厂商并列，独占第一。,到2018年，大部分日本和美国厂商退出了这一市场，近年来，我国光模块厂商在技术、成本、市场、运营等方面的优势逐渐凸显，占全球光模块市场的份额逐步提升。...2021-2022年，中际旭创与Coherent（Finisar）并列第一。而在2023年，中际旭创首次不与其他厂商并列，独占第一。2023年前十名中共有7家中国厂商入围，分别为中际旭创（排名第1）...,pdf/2024-12-12/email_e4afe25e-4222-5d10-bcb5-880095ee2efe.md
2024年前三季度中国三大运营商的资本开支比去年同期发生了怎样的变化？,2024年上半年中国移动、中国电信、中国联通的资本开支分别为640亿元、472亿元、239亿元，同比分别下降21%、13.5%、13.4%。三大运营商2024年上半年资本开支总额下降10.3%。,三大运营商2024年上半年资本开支总额下降10.3%，中国移动、中国电信、中国联通资本开支分别为640亿元、472亿元、239亿元，同比分别下降21%、13.5%、13.4%。,pdf/2024-12-12/email_e4afe25e-4222-5d10-bcb5-880095ee2efe.md
申万宏源证券2024年10月末最新版风格轮动模型对ETF行业配置的主要结果是什么？（请列举模型配置权重前三的指数及其对应ETF、基金公司与基金经理）,2024年10月末，申万宏源证券风格轮动模型对ETF行业配置权重前三的指数及其对应ETF、基金公司和基金经理为：1）数字经济（931582.CSI），配置权重20%，对应ETF为鹏扬中证数字经济主题ETF（560800.OF），鹏扬基金，基金经理：施红俊；2）科创创业50（931643.CSI），配置权重20%，对应ETF为华夏中证科创创业50ETF（159783.OF），华夏基金，基金经理：徐猛；3）通信设备（931160.CSI），配置权重20%，对应ETF为国泰中证全指通信设备ETF（515880.OF），国泰基金，基金经理：艾小军。,表7：最近一期模型的配置结果-20241031,pdf/2024-12-12/email_68853de9-2073-59b4-bf1e-079025321017.md
申万宏源证券风格轮动模型2024年前三季度（截至11月13日）对比沪深300全收益指数的超额收益及最大回撤率表现如何？,2024年，申万宏源证券风格轮动模型收益率为45.13%，沪深300全收益指数收益率为23.34%；风格模型最大回撤率为-9.62%，沪深300全收益指数为-12.31%。,表3：历年风格模型表现vs沪深300全收益指数,pdf/2024-12-12/email_68853de9-2073-59b4-bf1e-079025321017.md
申万宏源证券最新风格轮动模型当前最主要的风格偏好方向是什么？,申万宏源证券最新风格轮动模型当前整体看好“小盘+成长+非质量”环节，即偏向小盘、成长及低配质量（非高质量）风格。,在风格变动较大、市场情绪相对较热的背景下，风格模型整体看好小盘+成长+非质量环节，模型指出：1）成长/价值环节…2）市值模型…3）质量模型…，模型整体偏好非质量部分。,pdf/2024-12-12/email_68853de9-2073-59b4-bf1e-079025321017.md
大全能源2024年第三季度营业收入及归母净利润分别为多少？同比和环比变化如何？,2024年第三季度大全能源营业收入为14.21亿元，同比下降60.01%，环比下降11.31%；归母净利润为-4.29亿元，同比下降162.27%，环比增长57.13%。,2024Q3单季度公司营业收入为14.21亿元，同比下降60.01%，环比下降11.31%，归母净利润为-4.29亿元，同比下降162.27%，环比增长57.13%。,pdf/2024-12-12/email_c9520d49-f12a-5142-99f2-00d12a4c6290.md
